year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,6,0
1891,0,0
1892,0,0
1893,8,0
1894,0,0
1895,6,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,8,0
1910,8,0
1911,0,0
1912,8,0
1913,15,0
1914,12,0
1915,19,0
1916,23,0
1917,17,0
1918,18,0
1919,16,0
1920,18,0
1921,12,0
1922,17,0
1923,16,0
1924,17,0
1925,12,0
1926,12,0
1927,15,0
1928,15,0
1929,13,0
1930,11,0
1931,15,0
1932,7,0
1933,15,0
1934,17,0
1935,16,0
1936,8,0
1937,7,0
1938,11,0
1939,12,0
1940,14,0
1941,0,0
1942,13,0
1943,12,0
1944,7,0
1945,6,0
1946,9,0
1947,8,0
1948,9,0
1949,6,0
1950,9,0
1951,12,0
1952,8,0
1953,10,0
1954,10,0
1955,9,0
1956,16,0
1957,10,0
1958,7,0
1959,13,0
1960,8,0
1961,8,0
1962,5,0
1963,10,0
1964,8,0
1965,7,0
1966,6,0
1967,6,0
1968,7,0
1969,9,0
1970,5,0
1971,0,0
1972,10,0
1973,0,0
1974,6,0
1975,10,0
1976,6,0
1977,6,0
1978,12,0
1979,11,0
1980,8,0
1981,7,0
1982,5,0
1983,10,0
1984,0,0
1985,7,0
1986,6,0
1987,0,0
1988,0,0
1989,13,0
1990,7,0
1991,7,0
1992,7,0
1993,7,0
1994,10,0
1995,0,0
1996,6,0
1997,7,0
1998,0,0
1999,10,0
2000,6,0
2001,5,0
2002,0,0
2003,7,0
2004,5,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,5,0
2013,7,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,7,0
2019,5,0
