year,F,M
1880,0,0
1881,6,0
1882,5,0
1883,7,0
1884,0,5
1885,8,5
1886,0,0
1887,6,0
1888,5,9
1889,0,11
1890,6,0
1891,0,9
1892,6,0
1893,0,0
1894,0,8
1895,8,7
1896,5,8
1897,8,6
1898,5,7
1899,8,8
1900,10,10
1901,0,9
1902,0,5
1903,6,9
1904,0,7
1905,11,0
1906,6,0
1907,0,8
1908,0,11
1909,11,5
1910,8,11
1911,9,5
1912,9,23
1913,9,23
1914,19,26
1915,11,44
1916,18,36
1917,9,36
1918,11,44
1919,17,49
1920,22,48
1921,16,38
1922,15,48
1923,9,49
1924,16,49
1925,13,50
1926,17,46
1927,14,43
1928,15,39
1929,10,58
1930,14,38
1931,0,58
1932,13,37
1933,0,31
1934,13,37
1935,8,43
1936,11,33
1937,12,44
1938,16,49
1939,15,28
1940,16,35
1941,25,34
1942,21,56
1943,25,57
1944,32,68
1945,29,73
1946,30,63
1947,41,89
1948,45,76
1949,38,76
1950,38,64
1951,38,77
1952,35,78
1953,30,75
1954,41,88
1955,48,74
1956,35,85
1957,53,76
1958,71,78
1959,61,80
1960,62,116
1961,101,141
1962,152,100
1963,163,148
1964,235,146
1965,253,184
1966,372,199
1967,559,179
1968,648,185
1969,699,206
1970,783,210
1971,834,224
1972,671,206
1973,813,220
1974,2337,371
1975,2772,409
1976,3621,541
1977,3809,797
1978,4033,778
1979,4323,801
1980,5617,860
1981,6638,736
1982,7098,763
1983,6748,708
1984,7149,772
1985,7534,733
1986,9121,780
1987,8910,759
1988,12041,843
1989,13454,794
1990,15379,675
1991,13441,535
1992,12602,419
1993,12576,370
1994,12018,326
1995,12772,275
1996,11343,253
1997,9036,244
1998,7554,234
1999,6557,191
2000,5239,185
2001,4175,175
2002,3580,143
2003,3347,135
2004,2763,143
2005,2195,141
2006,1835,169
2007,1514,155
2008,1263,147
2009,1060,137
2010,900,126
2011,752,129
2012,638,137
2013,557,122
2014,417,132
2015,373,111
2016,347,109
2017,277,82
2018,202,77
2019,188,51
