year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,5
1884,0,0
1885,9,0
1886,6,0
1887,7,0
1888,10,0
1889,20,0
1890,10,0
1891,14,0
1892,16,6
1893,10,0
1894,21,0
1895,24,0
1896,18,6
1897,30,6
1898,20,5
1899,23,5
1900,27,10
1901,25,0
1902,38,9
1903,30,9
1904,36,10
1905,38,6
1906,40,7
1907,38,7
1908,38,0
1909,54,6
1910,48,11
1911,63,6
1912,68,10
1913,120,22
1914,158,24
1915,190,35
1916,214,42
1917,256,41
1918,303,37
1919,322,58
1920,376,48
1921,392,47
1922,447,66
1923,540,40
1924,578,44
1925,772,61
1926,893,49
1927,1126,63
1928,1092,47
1929,1137,44
1930,1268,52
1931,1224,52
1932,1361,39
1933,1291,39
1934,1340,41
1935,1349,42
1936,1484,47
1937,1236,44
1938,1373,26
1939,1259,27
1940,1310,29
1941,1550,25
1942,1592,37
1943,1609,28
1944,1456,27
1945,1391,16
1946,1573,19
1947,1815,16
1948,1627,17
1949,1642,19
1950,1775,20
1951,2012,15
1952,2276,28
1953,2307,9
1954,2366,20
1955,2389,17
1956,2821,15
1957,2927,16
1958,2760,26
1959,2882,17
1960,2775,20
1961,2610,23
1962,2427,16
1963,2181,16
1964,2218,19
1965,1975,7
1966,2090,18
1967,1885,14
1968,1904,14
1969,1692,19
1970,1774,16
1971,1824,11
1972,1818,11
1973,1697,14
1974,2756,24
1975,2306,10
1976,2075,15
1977,2100,18
1978,1946,13
1979,1822,23
1980,1717,9
1981,1622,13
1982,1335,16
1983,1191,13
1984,1154,11
1985,1122,13
1986,1037,11
1987,861,12
1988,837,19
1989,802,16
1990,697,17
1991,710,17
1992,616,8
1993,632,14
1994,590,11
1995,592,6
1996,587,13
1997,579,13
1998,583,5
1999,596,9
2000,607,11
2001,580,7
2002,590,10
2003,583,12
2004,614,6
2005,582,9
2006,607,9
2007,604,11
2008,575,8
2009,587,10
2010,629,17
2011,585,10
2012,620,11
2013,648,14
2014,697,23
2015,732,12
2016,952,10
2017,963,17
2018,896,11
2019,906,14
