year,F,M
1880,26,0
1881,21,0
1882,15,0
1883,33,0
1884,24,0
1885,40,0
1886,35,0
1887,32,0
1888,37,0
1889,27,0
1890,33,0
1891,36,0
1892,42,0
1893,36,0
1894,44,0
1895,29,0
1896,37,0
1897,50,0
1898,42,0
1899,40,0
1900,37,0
1901,31,0
1902,26,0
1903,45,0
1904,37,0
1905,41,0
1906,40,0
1907,32,0
1908,54,0
1909,48,0
1910,49,0
1911,59,0
1912,73,0
1913,94,0
1914,81,0
1915,147,0
1916,168,0
1917,170,0
1918,180,0
1919,165,0
1920,167,0
1921,160,0
1922,185,0
1923,199,0
1924,208,0
1925,236,0
1926,281,0
1927,238,0
1928,285,0
1929,274,0
1930,359,0
1931,331,0
1932,337,0
1933,367,0
1934,480,0
1935,424,0
1936,361,0
1937,438,0
1938,427,0
1939,390,0
1940,413,0
1941,417,0
1942,502,0
1943,514,0
1944,453,0
1945,426,0
1946,498,0
1947,509,0
1948,515,0
1949,463,0
1950,478,0
1951,443,0
1952,408,0
1953,411,0
1954,471,0
1955,455,0
1956,482,0
1957,582,0
1958,666,0
1959,754,0
1960,820,0
1961,864,0
1962,834,0
1963,888,0
1964,877,0
1965,909,0
1966,890,0
1967,856,7
1968,1035,0
1969,1216,5
1970,1330,5
1971,1371,0
1972,1423,0
1973,1663,0
1974,1773,7
1975,1696,6
1976,1717,7
1977,1564,0
1978,1349,7
1979,1387,10
1980,1726,8
1981,1827,10
1982,1835,14
1983,2120,7
1984,3328,21
1985,2771,23
1986,2224,20
1987,2054,20
1988,2206,15
1989,2115,16
1990,2231,11
1991,1950,11
1992,1823,14
1993,1638,11
1994,1624,7
1995,1596,8
1996,1405,0
1997,1409,0
1998,1281,0
1999,1327,7
2000,1349,0
2001,1555,5
2002,1334,0
2003,1302,6
2004,1278,8
2005,1167,0
2006,1288,0
2007,1391,0
2008,1194,0
2009,1106,5
2010,1066,0
2011,976,0
2012,971,0
2013,945,0
2014,1021,5
2015,1062,0
2016,1272,0
2017,1346,0
2018,1450,0
2019,1271,0
