year,F,M
1880,0,0
1881,0,0
1882,0,9
1883,0,0
1884,0,0
1885,0,7
1886,0,0
1887,0,0
1888,0,7
1889,0,0
1890,0,0
1891,0,0
1892,0,11
1893,0,7
1894,0,0
1895,0,6
1896,0,11
1897,0,8
1898,0,7
1899,0,9
1900,0,15
1901,0,13
1902,0,14
1903,0,9
1904,0,12
1905,0,18
1906,0,18
1907,0,16
1908,0,27
1909,0,20
1910,0,36
1911,0,33
1912,0,56
1913,0,67
1914,0,96
1915,0,148
1916,0,199
1917,0,268
1918,0,389
1919,0,508
1920,9,699
1921,0,877
1922,12,1024
1923,12,1172
1924,13,1495
1925,13,1545
1926,14,1590
1927,19,1588
1928,17,1494
1929,14,1443
1930,7,1325
1931,12,1067
1932,15,1116
1933,0,821
1934,7,816
1935,5,677
1936,8,637
1937,0,562
1938,7,516
1939,0,465
1940,6,429
1941,0,398
1942,0,416
1943,0,415
1944,0,393
1945,0,401
1946,0,351
1947,0,388
1948,0,329
1949,0,284
1950,0,274
1951,0,269
1952,0,254
1953,0,226
1954,0,262
1955,0,232
1956,0,230
1957,0,243
1958,0,201
1959,0,183
1960,0,204
1961,0,193
1962,0,177
1963,0,158
1964,0,173
1965,0,149
1966,0,135
1967,0,110
1968,0,102
1969,0,135
1970,0,103
1971,0,114
1972,0,84
1973,0,100
1974,0,86
1975,0,81
1976,0,103
1977,0,101
1978,0,83
1979,0,91
1980,0,120
1981,0,107
1982,0,131
1983,0,107
1984,0,101
1985,0,111
1986,0,114
1987,0,135
1988,0,143
1989,0,140
1990,0,152
1991,0,158
1992,0,179
1993,0,169
1994,0,182
1995,5,224
1996,0,209
1997,0,213
1998,0,213
1999,0,206
2000,0,265
2001,0,270
2002,0,311
2003,0,310
2004,0,316
2005,0,369
2006,0,378
2007,0,401
2008,0,381
2009,0,333
2010,0,291
2011,0,284
2012,0,270
2013,0,294
2014,0,278
2015,0,271
2016,0,284
2017,0,252
2018,0,284
2019,0,271
