year,M,F
1880,6,0
1881,0,0
1882,5,0
1883,6,0
1884,6,0
1885,7,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,10,0
1892,5,0
1893,0,0
1894,5,0
1895,0,0
1896,5,0
1897,8,0
1898,0,0
1899,5,0
1900,8,0
1901,6,0
1902,8,0
1903,5,0
1904,5,0
1905,0,0
1906,9,0
1907,5,0
1908,10,0
1909,7,0
1910,11,0
1911,13,0
1912,23,0
1913,22,0
1914,37,0
1915,45,0
1916,55,0
1917,50,0
1918,56,0
1919,46,0
1920,46,0
1921,50,0
1922,23,0
1923,41,0
1924,42,0
1925,40,0
1926,40,0
1927,36,0
1928,51,0
1929,24,0
1930,38,0
1931,25,0
1932,22,0
1933,17,0
1934,21,0
1935,15,0
1936,20,0
1937,21,0
1938,13,0
1939,16,0
1940,21,0
1941,14,0
1942,0,0
1943,8,0
1944,5,0
1945,7,0
1946,0,0
1947,5,0
1948,5,0
1949,10,0
1950,9,0
1951,6,0
1952,7,0
1953,0,0
1954,10,0
1955,10,0
1956,9,0
1957,11,0
1958,8,0
1959,12,0
1960,12,0
1961,10,0
1962,5,0
1963,12,0
1964,12,0
1965,10,0
1966,7,0
1967,0,0
1968,10,0
1969,9,0
1970,10,0
1971,5,0
1972,7,0
1973,5,0
1974,0,0
1975,6,0
1976,5,0
1977,0,0
1978,0,0
1979,5,0
1980,5,0
1981,0,0
1982,0,0
1983,7,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,5,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
