year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,8,0
1897,0,0
1898,0,0
1899,0,0
1900,7,0
1901,6,0
1902,8,0
1903,8,0
1904,5,0
1905,6,0
1906,16,0
1907,9,0
1908,22,0
1909,15,0
1910,15,0
1911,17,0
1912,33,0
1913,43,0
1914,36,0
1915,64,0
1916,82,0
1917,92,0
1918,88,0
1919,73,0
1920,100,0
1921,125,0
1922,143,0
1923,134,0
1924,117,0
1925,142,0
1926,106,0
1927,92,0
1928,86,0
1929,70,0
1930,67,0
1931,54,0
1932,54,0
1933,64,0
1934,58,0
1935,61,0
1936,63,0
1937,62,0
1938,56,0
1939,52,0
1940,43,0
1941,40,0
1942,50,0
1943,41,0
1944,36,0
1945,28,0
1946,31,0
1947,21,0
1948,29,0
1949,16,0
1950,21,0
1951,16,0
1952,16,0
1953,16,0
1954,9,0
1955,12,0
1956,12,0
1957,9,0
1958,10,0
1959,9,0
1960,9,0
1961,11,0
1962,0,0
1963,6,0
1964,6,0
1965,6,0
1966,7,0
1967,7,0
1968,7,0
1969,5,0
1970,0,0
1971,0,0
1972,5,0
1973,0,0
1974,6,0
1975,0,0
1976,0,0
1977,6,0
1978,0,0
1979,7,0
1980,10,0
1981,6,0
1982,12,0
1983,8,0
1984,6,0
1985,9,0
1986,8,0
1987,0,0
1988,10,0
1989,0,0
1990,9,0
1991,9,0
1992,5,0
1993,13,0
1994,7,0
1995,8,0
1996,8,0
1997,14,0
1998,15,0
1999,7,0
2000,11,0
2001,15,0
2002,15,0
2003,15,0
2004,14,0
2005,18,0
2006,25,0
2007,23,0
2008,25,0
2009,20,0
2010,25,0
2011,22,0
2012,32,0
2013,25,0
2014,27,0
2015,32,0
2016,34,0
2017,32,0
2018,26,0
2019,46,0
