year,F,M
1880,582,0
1881,532,0
1882,627,0
1883,663,0
1884,749,0
1885,716,0
1886,756,0
1887,740,0
1888,882,0
1889,825,0
1890,891,10
1891,841,8
1892,883,5
1893,886,0
1894,895,0
1895,890,0
1896,871,0
1897,760,0
1898,876,7
1899,814,0
1900,1045,5
1901,746,0
1902,853,0
1903,780,0
1904,805,0
1905,809,6
1906,839,10
1907,846,0
1908,772,0
1909,794,0
1910,940,5
1911,822,0
1912,1013,5
1913,1019,6
1914,1055,0
1915,1269,0
1916,1277,0
1917,1268,0
1918,1394,12
1919,1428,12
1920,1299,7
1921,1300,10
1922,1313,6
1923,1248,5
1924,1259,11
1925,1215,8
1926,1092,6
1927,1089,7
1928,1021,9
1929,860,11
1930,794,9
1931,742,8
1932,733,8
1933,678,8
1934,727,6
1935,687,0
1936,662,5
1937,634,6
1938,580,7
1939,566,8
1940,513,0
1941,539,6
1942,546,5
1943,566,0
1944,516,0
1945,441,0
1946,467,0
1947,529,0
1948,483,0
1949,420,0
1950,444,0
1951,386,0
1952,406,0
1953,337,0
1954,347,0
1955,347,0
1956,287,0
1957,298,0
1958,303,0
1959,347,0
1960,325,0
1961,308,0
1962,268,0
1963,273,0
1964,245,0
1965,175,0
1966,178,0
1967,212,0
1968,176,0
1969,170,0
1970,172,0
1971,213,0
1972,236,0
1973,341,0
1974,354,0
1975,408,0
1976,405,0
1977,410,0
1978,342,0
1979,469,0
1980,459,0
1981,487,0
1982,601,0
1983,738,0
1984,843,0
1985,945,0
1986,827,0
1987,877,6
1988,888,0
1989,840,0
1990,958,0
1991,937,0
1992,1040,0
1993,984,7
1994,1225,0
1995,1137,0
1996,1103,0
1997,1054,0
1998,1237,0
1999,1423,0
2000,1614,0
2001,1819,0
2002,1697,0
2003,1718,0
2004,1631,12
2005,1656,5
2006,1853,5
2007,1873,0
2008,1607,0
2009,1426,0
2010,1407,0
2011,1389,0
2012,1307,0
2013,1385,0
2014,1355,0
2015,1335,0
2016,1323,0
2017,1282,0
2018,1126,0
2019,1124,0
