year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,9
1888,0,5
1889,0,9
1890,0,0
1891,0,0
1892,0,6
1893,0,0
1894,0,0
1895,0,6
1896,0,0
1897,0,5
1898,0,5
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,6
1904,0,7
1905,0,5
1906,0,0
1907,0,0
1908,0,9
1909,0,7
1910,0,5
1911,0,7
1912,0,21
1913,0,15
1914,0,24
1915,0,39
1916,0,68
1917,0,47
1918,0,31
1919,0,28
1920,0,43
1921,0,39
1922,0,43
1923,0,36
1924,0,43
1925,0,45
1926,0,35
1927,0,35
1928,0,35
1929,0,42
1930,0,30
1931,0,39
1932,0,27
1933,0,17
1934,0,29
1935,0,29
1936,0,29
1937,0,37
1938,0,30
1939,0,23
1940,0,23
1941,0,34
1942,0,44
1943,0,38
1944,0,37
1945,0,34
1946,0,36
1947,0,44
1948,0,52
1949,0,45
1950,0,39
1951,0,42
1952,0,50
1953,0,46
1954,0,51
1955,0,39
1956,0,48
1957,0,60
1958,0,46
1959,0,39
1960,0,25
1961,0,45
1962,0,43
1963,0,47
1964,0,43
1965,0,30
1966,0,39
1967,0,50
1968,0,46
1969,0,64
1970,0,49
1971,0,42
1972,0,46
1973,0,51
1974,0,43
1975,0,40
1976,0,37
1977,0,65
1978,0,59
1979,0,79
1980,0,62
1981,0,52
1982,0,53
1983,0,47
1984,0,52
1985,0,59
1986,0,60
1987,0,38
1988,0,58
1989,0,57
1990,0,77
1991,0,58
1992,0,63
1993,0,72
1994,0,72
1995,0,60
1996,0,65
1997,0,50
1998,0,60
1999,0,66
2000,0,76
2001,0,75
2002,0,102
2003,0,102
2004,0,130
2005,0,134
2006,0,160
2007,0,174
2008,0,171
2009,0,192
2010,0,260
2011,0,314
2012,0,433
2013,0,446
2014,0,528
2015,5,630
2016,0,729
2017,0,625
2018,0,621
2019,0,560
