year,M,F
1880,6,0
1881,7,0
1882,7,0
1883,7,0
1884,0,0
1885,5,0
1886,6,0
1887,5,0
1888,5,0
1889,12,0
1890,0,0
1891,0,0
1892,8,0
1893,0,0
1894,0,0
1895,5,0
1896,5,0
1897,0,0
1898,0,0
1899,6,0
1900,5,0
1901,7,0
1902,5,0
1903,5,0
1904,0,0
1905,0,0
1906,0,0
1907,5,0
1908,0,0
1909,0,0
1910,10,0
1911,0,0
1912,6,0
1913,19,0
1914,17,0
1915,29,0
1916,33,0
1917,23,0
1918,33,0
1919,23,0
1920,26,0
1921,37,0
1922,40,0
1923,23,0
1924,17,0
1925,13,0
1926,21,0
1927,24,0
1928,32,0
1929,24,0
1930,25,0
1931,16,0
1932,25,0
1933,24,0
1934,11,0
1935,19,0
1936,22,0
1937,25,0
1938,17,0
1939,10,0
1940,22,0
1941,11,0
1942,17,0
1943,10,0
1944,16,0
1945,16,0
1946,16,0
1947,17,0
1948,14,0
1949,18,0
1950,14,0
1951,21,0
1952,17,0
1953,10,0
1954,9,0
1955,8,0
1956,15,0
1957,15,0
1958,9,0
1959,11,0
1960,16,0
1961,5,0
1962,12,0
1963,5,0
1964,5,0
1965,9,0
1966,6,0
1967,6,0
1968,0,0
1969,5,0
1970,5,0
1971,7,0
1972,5,0
1973,0,0
1974,0,0
1975,0,0
1976,7,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,6,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,7,0
1998,0,0
1999,0,0
2000,0,0
2001,6,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
