year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,0,0
1907,5,0
1908,0,0
1909,6,0
1910,0,0
1911,0,0
1912,5,0
1913,11,0
1914,8,0
1915,15,0
1916,5,0
1917,18,0
1918,9,0
1919,18,0
1920,5,0
1921,10,0
1922,11,0
1923,11,0
1924,9,0
1925,9,0
1926,6,0
1927,12,0
1928,15,0
1929,7,0
1930,5,0
1931,0,0
1932,12,0
1933,10,0
1934,0,0
1935,0,0
1936,6,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,7,0
1942,7,0
1943,0,0
1944,5,0
1945,8,0
1946,8,0
1947,14,0
1948,7,0
1949,17,0
1950,20,0
1951,20,0
1952,34,0
1953,32,0
1954,20,0
1955,33,0
1956,27,0
1957,43,0
1958,40,0
1959,55,0
1960,48,0
1961,40,0
1962,42,0
1963,34,0
1964,45,0
1965,41,0
1966,51,0
1967,75,0
1968,81,0
1969,104,0
1970,105,0
1971,111,0
1972,98,0
1973,171,0
1974,183,0
1975,249,0
1976,394,0
1977,527,0
1978,593,0
1979,614,7
1980,632,0
1981,678,7
1982,775,6
1983,940,0
1984,663,6
1985,790,6
1986,830,5
1987,920,10
1988,2637,18
1989,3593,34
1990,3827,19
1991,3845,13
1992,3386,11
1993,3210,7
1994,2932,5
1995,2503,10
1996,2523,6
1997,2362,5
1998,2019,0
1999,1947,0
2000,1956,0
2001,2071,6
2002,1954,0
2003,2054,8
2004,1986,6
2005,1924,0
2006,1941,0
2007,1977,0
2008,1650,0
2009,1396,0
2010,1177,0
2011,1121,0
2012,1028,0
2013,1055,0
2014,906,0
2015,857,0
2016,852,0
2017,831,0
2018,766,0
2019,682,0
