year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,7,0
1898,0,0
1899,0,0
1900,0,0
1901,6,0
1902,0,0
1903,5,0
1904,6,0
1905,8,0
1906,0,0
1907,0,0
1908,7,0
1909,0,0
1910,8,0
1911,9,0
1912,17,0
1913,12,0
1914,15,0
1915,21,0
1916,23,0
1917,18,0
1918,28,0
1919,30,0
1920,32,0
1921,32,0
1922,44,0
1923,43,0
1924,45,0
1925,58,0
1926,55,0
1927,47,0
1928,54,0
1929,60,0
1930,63,0
1931,66,0
1932,95,0
1933,90,0
1934,106,0
1935,132,0
1936,163,0
1937,233,0
1938,676,0
1939,2756,19
1940,5442,19
1941,6332,32
1942,7238,28
1943,8436,22
1944,8998,28
1945,9204,27
1946,12690,34
1947,15827,37
1948,17697,39
1949,20543,43
1950,20798,41
1951,21717,44
1952,21440,44
1953,20131,49
1954,19614,39
1955,19114,41
1956,19342,37
1957,24330,56
1958,21338,45
1959,21412,53
1960,23963,63
1961,23775,72
1962,21277,65
1963,19606,53
1964,17103,46
1965,15059,56
1966,13296,42
1967,11480,38
1968,9943,41
1969,8990,35
1970,8336,20
1971,7158,28
1972,6270,26
1973,5381,21
1974,4828,17
1975,4239,25
1976,3587,17
1977,3151,17
1978,2871,14
1979,2770,22
1980,2647,24
1981,2721,30
1982,2517,25
1983,2431,30
1984,2497,31
1985,2387,36
1986,2240,50
1987,2151,46
1988,2286,42
1989,2270,44
1990,2633,32
1991,2634,44
1992,2827,28
1993,2885,35
1994,2655,28
1995,2610,29
1996,2416,11
1997,2158,11
1998,2133,9
1999,1978,0
2000,1898,0
2001,1736,5
2002,1550,6
2003,1442,7
2004,1660,11
2005,1660,7
2006,1418,0
2007,1231,5
2008,968,0
2009,780,0
2010,732,0
2011,546,0
2012,561,0
2013,439,0
2014,384,0
2015,349,0
2016,339,0
2017,293,0
2018,255,0
2019,235,0
