year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,5,0
1914,12,0
1915,22,0
1916,20,0
1917,11,0
1918,14,0
1919,17,0
1920,20,0
1921,15,0
1922,22,0
1923,20,0
1924,22,0
1925,18,0
1926,25,0
1927,11,0
1928,10,0
1929,19,0
1930,20,0
1931,22,0
1932,12,0
1933,11,0
1934,8,0
1935,8,0
1936,13,0
1937,17,0
1938,14,0
1939,12,0
1940,10,0
1941,16,0
1942,12,0
1943,14,0
1944,13,0
1945,6,0
1946,7,0
1947,12,0
1948,15,0
1949,11,0
1950,10,0
1951,12,0
1952,10,0
1953,10,0
1954,18,0
1955,14,0
1956,21,0
1957,9,0
1958,0,0
1959,9,0
1960,10,0
1961,8,0
1962,9,0
1963,8,0
1964,9,0
1965,5,0
1966,7,0
1967,5,0
1968,10,0
1969,6,0
1970,8,0
1971,10,0
1972,9,0
1973,8,0
1974,0,0
1975,0,0
1976,0,0
1977,7,0
1978,7,0
1979,7,0
1980,6,0
1981,5,0
1982,0,0
1983,0,0
1984,6,0
1985,0,0
1986,6,0
1987,5,0
1988,7,0
1989,7,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,5,0
1996,7,0
1997,0,0
1998,0,0
1999,6,0
2000,7,0
2001,6,0
2002,5,0
2003,8,0
2004,5,0
2005,8,0
2006,9,0
2007,12,0
2008,16,0
2009,7,0
2010,18,0
2011,18,0
2012,21,0
2013,39,0
2014,28,0
2015,39,0
2016,40,0
2017,46,0
2018,54,0
2019,45,0
