year,F,M
1880,22,0
1881,22,0
1882,22,0
1883,25,0
1884,35,0
1885,39,0
1886,41,0
1887,35,0
1888,46,0
1889,58,0
1890,51,0
1891,41,0
1892,53,0
1893,56,0
1894,60,0
1895,61,0
1896,58,0
1897,64,0
1898,87,0
1899,73,0
1900,92,0
1901,70,0
1902,81,0
1903,99,0
1904,73,0
1905,100,0
1906,84,0
1907,88,0
1908,104,0
1909,105,0
1910,129,0
1911,120,0
1912,160,0
1913,151,0
1914,210,0
1915,249,0
1916,220,0
1917,293,0
1918,281,0
1919,274,0
1920,249,0
1921,271,0
1922,233,0
1923,234,0
1924,282,0
1925,237,0
1926,221,0
1927,208,0
1928,172,0
1929,181,5
1930,171,0
1931,126,0
1932,139,0
1933,117,0
1934,96,0
1935,101,0
1936,106,0
1937,95,0
1938,87,0
1939,96,0
1940,77,0
1941,75,0
1942,75,0
1943,74,0
1944,66,0
1945,51,0
1946,57,0
1947,77,0
1948,57,0
1949,68,0
1950,62,0
1951,60,0
1952,54,0
1953,63,0
1954,54,0
1955,61,0
1956,57,0
1957,49,0
1958,43,0
1959,34,0
1960,34,0
1961,30,0
1962,42,0
1963,46,0
1964,43,0
1965,18,0
1966,25,0
1967,9,0
1968,17,0
1969,10,0
1970,18,0
1971,25,0
1972,21,0
1973,21,0
1974,22,0
1975,15,0
1976,13,0
1977,15,0
1978,17,0
1979,13,0
1980,21,0
1981,14,0
1982,22,0
1983,16,0
1984,13,0
1985,22,0
1986,9,0
1987,20,0
1988,26,0
1989,19,0
1990,15,0
1991,22,0
1992,25,0
1993,32,0
1994,37,0
1995,33,0
1996,49,0
1997,93,0
1998,117,0
1999,174,0
2000,162,0
2001,193,0
2002,243,0
2003,260,0
2004,286,0
2005,281,0
2006,388,0
2007,363,0
2008,366,0
2009,341,0
2010,323,0
2011,261,0
2012,227,0
2013,210,0
2014,197,0
2015,186,0
2016,159,0
2017,150,0
2018,144,0
2019,114,0
