year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,5,0
1898,6,0
1899,0,0
1900,5,0
1901,0,0
1902,0,0
1903,0,0
1904,5,0
1905,7,0
1906,7,0
1907,6,0
1908,8,0
1909,0,0
1910,10,0
1911,6,0
1912,6,0
1913,6,0
1914,8,0
1915,9,7
1916,11,6
1917,15,10
1918,12,10
1919,13,8
1920,22,0
1921,14,8
1922,12,9
1923,16,9
1924,15,13
1925,15,11
1926,11,11
1927,9,9
1928,10,11
1929,16,10
1930,19,13
1931,6,8
1932,7,7
1933,0,0
1934,8,0
1935,0,6
1936,0,0
1937,7,0
1938,0,0
1939,8,0
1940,0,5
1941,0,10
1942,7,0
1943,9,0
1944,0,7
1945,5,8
1946,10,0
1947,0,0
1948,9,0
1949,8,0
1950,0,0
1951,0,8
1952,0,0
1953,11,0
1954,0,0
1955,6,0
1956,0,0
1957,8,0
1958,5,5
1959,8,5
1960,5,5
1961,6,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,6
1968,0,0
1969,0,0
1970,6,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,5,0
1976,8,0
1977,7,0
1978,0,0
1979,5,0
1980,5,0
1981,7,0
1982,6,0
1983,0,0
1984,8,0
1985,6,0
1986,11,0
1987,5,0
1988,5,0
1989,9,0
1990,8,0
1991,13,0
1992,18,0
1993,21,0
1994,19,0
1995,15,0
1996,22,0
1997,23,0
1998,51,0
1999,50,0
2000,45,0
2001,43,0
2002,37,0
2003,51,0
2004,38,0
2005,38,0
2006,47,0
2007,47,0
2008,33,0
2009,30,0
2010,21,0
2011,25,0
2012,24,0
2013,22,0
2014,23,0
2015,25,0
2016,17,0
2017,22,0
2018,24,0
2019,22,0
