year,F,M
1880,0,32
1881,0,29
1882,0,35
1883,0,42
1884,0,39
1885,0,38
1886,0,35
1887,0,20
1888,0,37
1889,0,29
1890,0,24
1891,0,28
1892,0,28
1893,0,17
1894,0,27
1895,0,33
1896,0,23
1897,0,18
1898,0,32
1899,0,26
1900,0,37
1901,0,19
1902,0,23
1903,0,25
1904,0,25
1905,0,16
1906,0,15
1907,0,21
1908,0,11
1909,0,24
1910,0,25
1911,0,27
1912,0,44
1913,0,45
1914,5,42
1915,0,58
1916,0,81
1917,0,79
1918,0,69
1919,0,79
1920,0,71
1921,0,99
1922,0,96
1923,0,89
1924,0,72
1925,0,74
1926,0,72
1927,0,79
1928,0,68
1929,0,60
1930,0,71
1931,0,63
1932,0,62
1933,0,45
1934,0,60
1935,0,53
1936,0,48
1937,0,48
1938,0,41
1939,0,47
1940,6,56
1941,0,47
1942,0,44
1943,0,48
1944,0,44
1945,0,47
1946,0,45
1947,7,46
1948,9,43
1949,9,52
1950,0,49
1951,7,45
1952,5,41
1953,8,40
1954,5,44
1955,0,45
1956,10,35
1957,15,36
1958,8,32
1959,24,34
1960,49,29
1961,33,23
1962,40,34
1963,54,30
1964,57,31
1965,71,30
1966,54,24
1967,76,14
1968,70,22
1969,95,25
1970,127,39
1971,151,38
1972,181,45
1973,158,37
1974,184,48
1975,230,69
1976,300,64
1977,421,82
1978,444,87
1979,546,93
1980,624,112
1981,565,103
1982,540,108
1983,525,94
1984,468,115
1985,481,101
1986,428,80
1987,450,88
1988,402,90
1989,358,103
1990,348,118
1991,297,139
1992,296,137
1993,260,142
1994,247,178
1995,221,204
1996,224,230
1997,199,234
1998,219,254
1999,189,284
2000,190,277
2001,174,300
2002,166,336
2003,169,337
2004,201,359
2005,158,377
2006,166,376
2007,188,364
2008,147,392
2009,147,340
2010,138,363
2011,139,311
2012,140,317
2013,160,347
2014,138,326
2015,120,303
2016,123,303
2017,138,284
2018,161,269
2019,117,316
