year,F,M
1880,17,0
1881,27,0
1882,37,0
1883,24,7
1884,28,6
1885,25,6
1886,34,9
1887,39,5
1888,41,7
1889,34,0
1890,40,0
1891,38,12
1892,41,7
1893,47,8
1894,53,0
1895,37,7
1896,52,9
1897,44,6
1898,53,9
1899,48,5
1900,65,11
1901,60,0
1902,51,11
1903,48,6
1904,54,0
1905,54,7
1906,51,11
1907,56,9
1908,56,11
1909,38,14
1910,50,11
1911,47,7
1912,64,13
1913,81,13
1914,70,23
1915,90,28
1916,83,25
1917,84,21
1918,123,25
1919,89,27
1920,83,24
1921,84,18
1922,93,28
1923,82,26
1924,87,26
1925,91,22
1926,71,14
1927,66,27
1928,56,13
1929,54,16
1930,55,26
1931,43,10
1932,35,19
1933,46,15
1934,47,17
1935,44,15
1936,46,11
1937,48,18
1938,39,16
1939,38,12
1940,38,14
1941,45,11
1942,35,15
1943,36,20
1944,31,18
1945,42,11
1946,45,19
1947,42,10
1948,44,13
1949,37,8
1950,43,10
1951,43,10
1952,48,9
1953,59,11
1954,52,11
1955,62,7
1956,57,7
1957,53,0
1958,59,15
1959,67,0
1960,74,0
1961,60,12
1962,66,7
1963,76,7
1964,63,0
1965,60,8
1966,39,7
1967,41,6
1968,45,0
1969,53,0
1970,44,6
1971,30,0
1972,47,0
1973,55,6
1974,54,0
1975,70,6
1976,68,0
1977,60,0
1978,57,0
1979,81,0
1980,75,0
1981,81,0
1982,71,0
1983,71,5
1984,57,5
1985,49,0
1986,58,0
1987,87,0
1988,91,5
1989,128,0
1990,173,5
1991,168,0
1992,233,0
1993,255,0
1994,252,0
1995,359,0
1996,374,0
1997,429,0
1998,603,0
1999,708,0
2000,829,0
2001,905,0
2002,1619,8
2003,1728,8
2004,1817,8
2005,1889,0
2006,1993,7
2007,2010,0
2008,1996,5
2009,2234,0
2010,2910,5
2011,3062,0
2012,3383,7
2013,3762,0
2014,4483,12
2015,4865,6
2016,5067,6
2017,5009,7
2018,5205,10
2019,5404,6
