year,F,M
1880,0,0
1881,0,0
1882,0,5
1883,0,0
1884,0,5
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,5
1894,0,0
1895,0,0
1896,0,0
1897,0,9
1898,0,5
1899,0,0
1900,0,7
1901,0,0
1902,0,0
1903,0,0
1904,0,7
1905,0,0
1906,0,0
1907,0,0
1908,0,9
1909,0,0
1910,0,0
1911,0,9
1912,0,11
1913,0,9
1914,0,18
1915,0,16
1916,0,17
1917,0,20
1918,0,22
1919,0,15
1920,0,19
1921,0,26
1922,0,27
1923,0,22
1924,0,22
1925,0,21
1926,0,23
1927,0,26
1928,0,27
1929,0,12
1930,0,16
1931,0,18
1932,0,11
1933,0,14
1934,0,18
1935,0,13
1936,0,10
1937,0,13
1938,0,22
1939,0,14
1940,0,23
1941,0,19
1942,0,24
1943,0,23
1944,0,17
1945,0,17
1946,0,22
1947,0,34
1948,0,30
1949,0,15
1950,0,25
1951,0,23
1952,0,26
1953,0,24
1954,0,25
1955,0,37
1956,0,42
1957,0,24
1958,0,30
1959,5,65
1960,0,44
1961,0,32
1962,0,18
1963,0,34
1964,5,21
1965,0,29
1966,0,23
1967,0,12
1968,0,22
1969,0,15
1970,0,25
1971,0,21
1972,0,24
1973,5,22
1974,0,12
1975,5,29
1976,0,43
1977,10,24
1978,9,23
1979,5,25
1980,0,13
1981,5,23
1982,0,25
1983,7,29
1984,6,30
1985,8,21
1986,8,16
1987,11,28
1988,16,15
1989,17,12
1990,26,18
1991,28,15
1992,19,14
1993,32,18
1994,29,15
1995,31,21
1996,36,10
1997,39,13
1998,46,8
1999,40,13
2000,46,18
2001,40,12
2002,60,10
2003,70,12
2004,77,5
2005,130,16
2006,159,9
2007,151,10
2008,141,19
2009,171,8
2010,187,13
2011,197,10
2012,202,17
2013,197,7
2014,256,14
2015,256,14
2016,196,11
2017,211,10
2018,173,11
2019,195,9
