year,F,M
1880,633,6
1881,788,5
1882,989,0
1883,1132,0
1884,1386,7
1885,1495,13
1886,1699,6
1887,1907,10
1888,2374,12
1889,2463,14
1890,2718,8
1891,2689,9
1892,3035,17
1893,3119,12
1894,3287,11
1895,3391,15
1896,3502,12
1897,3182,17
1898,3531,24
1899,2999,15
1900,3896,20
1901,3067,16
1902,3295,19
1903,3257,20
1904,3296,17
1905,3401,14
1906,3511,16
1907,3698,12
1908,3786,22
1909,3661,25
1910,4146,33
1911,4141,17
1912,5073,18
1913,5369,27
1914,6204,26
1915,7379,30
1916,7601,24
1917,7864,37
1918,8075,35
1919,7810,40
1920,7868,23
1921,7603,32
1922,7245,25
1923,6541,31
1924,6585,41
1925,6175,33
1926,5858,30
1927,5486,43
1928,4925,48
1929,4518,32
1930,4100,37
1931,3761,33
1932,3608,22
1933,3217,35
1934,3179,30
1935,3004,27
1936,2731,17
1937,2765,23
1938,2725,27
1939,2494,28
1940,2374,12
1941,2271,16
1942,2204,15
1943,2218,10
1944,2055,8
1945,1817,10
1946,1935,12
1947,2083,8
1948,1872,6
1949,1753,9
1950,1600,9
1951,1493,7
1952,1398,13
1953,1282,0
1954,1177,6
1955,1103,9
1956,1076,7
1957,880,5
1958,857,0
1959,680,0
1960,731,0
1961,633,0
1962,581,5
1963,524,8
1964,517,0
1965,440,5
1966,364,7
1967,341,0
1968,283,5
1969,275,0
1970,227,0
1971,218,0
1972,180,0
1973,181,0
1974,130,0
1975,149,0
1976,114,0
1977,106,0
1978,106,0
1979,87,0
1980,74,0
1981,63,0
1982,82,0
1983,70,0
1984,48,0
1985,54,0
1986,46,0
1987,29,0
1988,30,0
1989,51,0
1990,46,0
1991,36,0
1992,33,0
1993,28,0
1994,22,0
1995,25,0
1996,28,0
1997,14,0
1998,18,0
1999,23,0
2000,14,0
2001,19,0
2002,29,0
2003,24,0
2004,23,0
2005,20,0
2006,13,0
2007,17,0
2008,13,0
2009,15,0
2010,14,0
2011,14,0
2012,15,0
2013,14,0
2014,21,0
2015,12,0
2016,25,0
2017,28,0
2018,32,0
2019,23,0
