year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,5,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,7,0
1896,5,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,5,0
1910,0,0
1911,0,0
1912,8,0
1913,15,0
1914,13,0
1915,21,0
1916,25,0
1917,22,0
1918,14,0
1919,12,0
1920,17,0
1921,17,0
1922,12,0
1923,15,0
1924,15,0
1925,13,0
1926,12,0
1927,11,0
1928,18,0
1929,15,0
1930,13,0
1931,10,0
1932,13,0
1933,12,0
1934,8,0
1935,11,0
1936,8,0
1937,13,0
1938,0,0
1939,11,0
1940,18,0
1941,12,0
1942,23,0
1943,9,0
1944,10,0
1945,10,0
1946,7,0
1947,11,0
1948,14,0
1949,11,0
1950,12,0
1951,10,0
1952,15,0
1953,11,0
1954,12,0
1955,11,0
1956,14,0
1957,10,0
1958,6,0
1959,13,0
1960,10,0
1961,7,0
1962,0,0
1963,5,0
1964,8,0
1965,6,0
1966,0,0
1967,0,0
1968,0,0
1969,5,0
1970,7,0
1971,0,0
1972,6,0
1973,0,0
1974,5,0
1975,0,0
1976,0,0
1977,5,0
1978,0,0
1979,0,0
1980,0,0
1981,5,0
1982,7,0
1983,5,0
1984,5,0
1985,0,0
1986,7,0
1987,8,0
1988,0,0
1989,5,0
1990,0,0
1991,6,0
1992,9,0
1993,0,0
1994,6,0
1995,7,0
1996,7,0
1997,9,0
1998,6,0
1999,0,0
2000,5,0
2001,15,0
2002,8,0
2003,11,0
2004,10,0
2005,7,0
2006,10,0
2007,11,0
2008,10,0
2009,19,0
2010,8,0
2011,12,0
2012,22,0
2013,16,0
2014,13,0
2015,5,0
2016,15,0
2017,16,0
2018,10,0
2019,11,0
