year,F,M
1880,8,2534
1881,11,2282
1882,12,2610
1883,0,2316
1884,10,2572
1885,9,2266
1886,8,2337
1887,7,2151
1888,14,2449
1889,12,2233
1890,9,2200
1891,13,1982
1892,16,2413
1893,16,2157
1894,9,2170
1895,14,2153
1896,11,2088
1897,16,1980
1898,11,2161
1899,8,1811
1900,16,2557
1901,12,1820
1902,16,2134
1903,9,1962
1904,16,2057
1905,18,2135
1906,13,2176
1907,12,2175
1908,22,2301
1909,12,2468
1910,18,2851
1911,23,3292
1912,34,6087
1913,36,7096
1914,48,8850
1915,46,11490
1916,49,11998
1917,55,12611
1918,69,13910
1919,66,13434
1920,82,14938
1921,76,15307
1922,67,15263
1923,66,15885
1924,85,16556
1925,78,16687
1926,110,16597
1927,116,17026
1928,143,16579
1929,121,16277
1930,128,17012
1931,89,16846
1932,92,16835
1933,96,16500
1934,62,17369
1935,73,17683
1936,76,18343
1937,66,19774
1938,76,21378
1939,74,22130
1940,86,23989
1941,75,26643
1942,103,31098
1943,91,32869
1944,100,31601
1945,100,31868
1946,109,38870
1947,103,44837
1948,95,43777
1949,100,45203
1950,82,45596
1951,90,48283
1952,78,48642
1953,98,47006
1954,78,47175
1955,73,45836
1956,103,44814
1957,110,44593
1958,116,42061
1959,127,40278
1960,120,39271
1961,110,37558
1962,113,36522
1963,136,35505
1964,113,34449
1965,112,31626
1966,118,29010
1967,138,28264
1968,121,27438
1969,103,27470
1970,133,26685
1971,131,23161
1972,96,19573
1973,101,17931
1974,93,17280
1975,86,16547
1976,101,16127
1977,123,16589
1978,131,16492
1979,122,16474
1980,111,17567
1981,110,17167
1982,110,17582
1983,147,17569
1984,118,17599
1985,113,17605
1986,128,17355
1987,125,18129
1988,117,18809
1989,70,18433
1990,44,18221
1991,41,16788
1992,35,15282
1993,29,14864
1994,21,14907
1995,30,14162
1996,31,13801
1997,19,12896
1998,17,12885
1999,19,12791
2000,23,12639
2001,15,12147
2002,14,11293
2003,16,10933
2004,39,10501
2005,10,10038
2006,17,9510
2007,8,8929
2008,0,8358
2009,13,7724
2010,11,7128
2011,10,6919
2012,10,6844
2013,8,6791
2014,6,7032
2015,10,7189
2016,10,7358
2017,11,7168
2018,7,6809
2019,0,6612
