year,M,F
1880,0,0
1881,7,0
1882,0,0
1883,0,0
1884,6,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,5,0
1897,0,0
1898,6,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,7,0
1909,0,0
1910,10,0
1911,6,0
1912,6,0
1913,15,0
1914,20,0
1915,9,0
1916,15,0
1917,22,0
1918,24,0
1919,13,0
1920,23,0
1921,19,0
1922,21,0
1923,21,0
1924,22,0
1925,20,0
1926,26,0
1927,14,0
1928,14,0
1929,22,0
1930,9,0
1931,11,0
1932,10,0
1933,20,0
1934,10,0
1935,19,0
1936,15,0
1937,7,0
1938,12,0
1939,18,0
1940,12,0
1941,9,0
1942,12,0
1943,7,0
1944,9,0
1945,14,0
1946,16,0
1947,7,0
1948,11,0
1949,8,0
1950,11,0
1951,6,0
1952,9,0
1953,9,0
1954,12,0
1955,8,0
1956,12,0
1957,16,0
1958,7,0
1959,10,0
1960,5,0
1961,0,0
1962,5,0
1963,6,0
1964,6,0
1965,5,0
1966,7,0
1967,0,0
1968,11,0
1969,0,0
1970,6,0
1971,5,0
1972,0,0
1973,0,0
1974,7,0
1975,0,0
1976,8,0
1977,0,0
1978,0,0
1979,6,0
1980,0,0
1981,6,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,5,0
1987,0,0
1988,0,0
1989,5,0
1990,6,0
1991,0,0
1992,0,0
1993,0,0
1994,5,0
1995,0,0
1996,5,0
1997,0,0
1998,7,0
1999,0,0
2000,6,0
2001,8,0
2002,0,0
2003,7,0
2004,9,0
2005,7,0
2006,0,0
2007,7,0
2008,0,0
2009,0,0
2010,0,0
2011,9,0
2012,0,0
2013,5,0
2014,6,0
2015,7,0
2016,7,0
2017,0,0
2018,5,0
2019,0,0
