year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,5,0
1887,0,0
1888,0,0
1889,5,0
1890,6,0
1891,11,0
1892,7,0
1893,8,0
1894,9,0
1895,11,0
1896,16,0
1897,16,0
1898,21,0
1899,21,0
1900,26,0
1901,23,0
1902,22,0
1903,25,0
1904,26,0
1905,26,0
1906,32,0
1907,38,0
1908,31,0
1909,34,0
1910,36,0
1911,40,0
1912,46,0
1913,48,0
1914,78,0
1915,96,0
1916,109,0
1917,137,0
1918,102,0
1919,142,0
1920,138,0
1921,142,0
1922,128,0
1923,128,0
1924,141,0
1925,121,0
1926,139,0
1927,132,0
1928,112,0
1929,125,0
1930,119,0
1931,102,0
1932,120,0
1933,109,0
1934,124,0
1935,134,0
1936,117,0
1937,148,0
1938,148,0
1939,151,0
1940,131,0
1941,125,0
1942,124,0
1943,103,0
1944,123,0
1945,106,0
1946,108,0
1947,141,0
1948,115,0
1949,116,0
1950,112,0
1951,130,0
1952,146,0
1953,115,0
1954,108,0
1955,123,0
1956,118,0
1957,136,0
1958,144,0
1959,134,0
1960,165,0
1961,161,0
1962,175,0
1963,150,0
1964,138,0
1965,121,0
1966,147,0
1967,134,0
1968,115,0
1969,124,0
1970,147,0
1971,145,0
1972,132,0
1973,114,0
1974,104,6
1975,89,0
1976,88,0
1977,79,0
1978,83,0
1979,84,0
1980,74,0
1981,49,0
1982,51,0
1983,53,0
1984,57,0
1985,43,0
1986,42,0
1987,37,0
1988,30,0
1989,24,0
1990,30,0
1991,23,0
1992,17,0
1993,27,0
1994,23,0
1995,21,0
1996,21,0
1997,15,0
1998,20,0
1999,10,0
2000,13,0
2001,12,0
2002,17,0
2003,14,0
2004,12,0
2005,13,0
2006,8,0
2007,5,0
2008,8,0
2009,8,0
2010,5,0
2011,8,0
2012,7,0
2013,19,0
2014,7,0
2015,5,0
2016,7,0
2017,7,0
2018,5,0
2019,7,0
