year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,7,0
1886,5,0
1887,6,0
1888,15,0
1889,17,0
1890,7,0
1891,0,0
1892,15,0
1893,11,0
1894,13,0
1895,11,0
1896,15,0
1897,15,0
1898,18,0
1899,19,0
1900,18,0
1901,13,0
1902,19,0
1903,29,0
1904,20,0
1905,33,0
1906,24,0
1907,14,0
1908,32,0
1909,30,0
1910,35,0
1911,30,0
1912,42,0
1913,47,0
1914,50,0
1915,46,0
1916,60,0
1917,65,0
1918,63,0
1919,62,0
1920,70,0
1921,73,0
1922,56,0
1923,62,0
1924,56,0
1925,57,0
1926,56,0
1927,52,0
1928,41,0
1929,45,0
1930,41,0
1931,37,0
1932,34,0
1933,39,0
1934,28,0
1935,34,0
1936,27,0
1937,24,0
1938,21,0
1939,23,0
1940,26,0
1941,17,0
1942,22,0
1943,25,0
1944,21,0
1945,15,0
1946,25,0
1947,15,0
1948,15,0
1949,13,0
1950,16,0
1951,20,0
1952,19,0
1953,12,0
1954,17,0
1955,12,0
1956,17,0
1957,13,0
1958,13,0
1959,15,0
1960,15,0
1961,10,0
1962,15,0
1963,14,0
1964,12,0
1965,5,0
1966,5,0
1967,7,0
1968,5,0
1969,7,0
1970,11,0
1971,0,0
1972,6,0
1973,0,0
1974,7,0
1975,10,0
1976,8,0
1977,6,0
1978,0,0
1979,8,0
1980,9,0
1981,7,0
1982,7,0
1983,7,0
1984,10,0
1985,7,0
1986,6,0
1987,5,0
1988,0,0
1989,6,0
1990,6,0
1991,6,0
1992,7,0
1993,6,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,6,0
1999,6,0
2000,9,0
2001,6,0
2002,0,0
2003,0,0
2004,5,0
2005,0,0
2006,7,0
2007,12,0
2008,9,0
2009,10,0
2010,7,0
2011,9,0
2012,10,0
2013,8,0
2014,8,0
2015,13,0
2016,12,0
2017,10,0
2018,18,0
2019,7,0
