year,F,M
1880,0,260
1881,0,249
1882,0,284
1883,0,229
1884,0,273
1885,0,259
1886,0,253
1887,0,267
1888,0,275
1889,0,270
1890,0,253
1891,0,236
1892,0,295
1893,0,271
1894,0,285
1895,0,269
1896,0,265
1897,0,271
1898,0,275
1899,0,248
1900,0,316
1901,0,244
1902,0,266
1903,0,265
1904,0,286
1905,0,308
1906,0,262
1907,5,280
1908,0,292
1909,0,347
1910,0,383
1911,6,394
1912,0,664
1913,7,747
1914,7,991
1915,7,1198
1916,6,1287
1917,10,1304
1918,8,1416
1919,15,1378
1920,11,1379
1921,11,1453
1922,13,1477
1923,14,1333
1924,17,1396
1925,19,1332
1926,24,1296
1927,20,1258
1928,21,1154
1929,17,1119
1930,16,1109
1931,12,958
1932,12,961
1933,8,878
1934,8,862
1935,12,832
1936,0,803
1937,7,863
1938,5,828
1939,8,764
1940,9,825
1941,8,842
1942,5,858
1943,5,843
1944,6,853
1945,6,708
1946,0,809
1947,0,826
1948,8,832
1949,5,744
1950,7,762
1951,0,683
1952,6,741
1953,5,687
1954,8,670
1955,6,696
1956,0,612
1957,0,582
1958,9,524
1959,0,520
1960,0,529
1961,0,491
1962,0,460
1963,0,443
1964,0,449
1965,0,395
1966,6,364
1967,5,285
1968,0,319
1969,5,335
1970,0,346
1971,0,316
1972,0,293
1973,0,248
1974,0,242
1975,0,236
1976,0,244
1977,0,234
1978,0,220
1979,0,235
1980,0,206
1981,0,231
1982,0,229
1983,0,213
1984,0,181
1985,0,172
1986,0,185
1987,0,155
1988,0,174
1989,0,190
1990,0,176
1991,0,145
1992,0,136
1993,0,147
1994,0,126
1995,0,105
1996,0,102
1997,0,101
1998,0,107
1999,0,88
2000,0,102
2001,0,90
2002,0,87
2003,0,81
2004,0,70
2005,0,99
2006,0,91
2007,0,85
2008,0,85
2009,0,78
2010,0,73
2011,0,79
2012,0,80
2013,0,87
2014,0,101
2015,0,99
2016,0,99
2017,0,99
2018,0,113
2019,0,128
