year,F,M
1880,0,30
1881,0,21
1882,0,34
1883,0,30
1884,0,28
1885,0,28
1886,0,40
1887,0,34
1888,0,21
1889,0,33
1890,0,25
1891,0,25
1892,0,44
1893,0,41
1894,0,33
1895,0,37
1896,0,49
1897,0,42
1898,0,45
1899,0,32
1900,0,50
1901,0,35
1902,0,45
1903,0,50
1904,0,38
1905,0,41
1906,0,52
1907,0,62
1908,0,60
1909,0,71
1910,0,83
1911,0,59
1912,0,134
1913,0,154
1914,0,199
1915,0,256
1916,0,237
1917,0,289
1918,0,286
1919,0,292
1920,0,336
1921,0,357
1922,0,361
1923,0,368
1924,0,398
1925,5,427
1926,0,440
1927,0,478
1928,7,492
1929,0,485
1930,5,516
1931,0,465
1932,6,469
1933,7,398
1934,0,443
1935,0,489
1936,7,481
1937,7,489
1938,10,445
1939,0,450
1940,5,443
1941,7,460
1942,0,514
1943,0,544
1944,6,507
1945,0,560
1946,6,648
1947,0,737
1948,5,909
1949,9,998
1950,15,1025
1951,10,1040
1952,6,1093
1953,7,1204
1954,16,1259
1955,11,1290
1956,15,1369
1957,6,1382
1958,5,1373
1959,9,1359
1960,11,1358
1961,10,1383
1962,10,1381
1963,5,1259
1964,9,1347
1965,6,1150
1966,6,1195
1967,8,1175
1968,7,1140
1969,12,1237
1970,13,1326
1971,11,1322
1972,16,1323
1973,12,1310
1974,11,1383
1975,10,1376
1976,11,1364
1977,14,1365
1978,6,1379
1979,16,1397
1980,21,1486
1981,9,1473
1982,13,1471
1983,14,1494
1984,16,1374
1985,21,1455
1986,7,1382
1987,9,1527
1988,16,1593
1989,16,1596
1990,11,1744
1991,18,1732
1992,9,1805
1993,11,1749
1994,13,1724
1995,6,1697
1996,5,1662
1997,5,1595
1998,5,1583
1999,12,1637
2000,6,1717
2001,0,1735
2002,0,1572
2003,0,1655
2004,5,1601
2005,5,1465
2006,0,1594
2007,0,1479
2008,0,1355
2009,6,1198
2010,0,1102
2011,0,977
2012,0,958
2013,0,888
2014,0,892
2015,0,862
2016,0,799
2017,0,748
2018,0,752
2019,0,735
