year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,5,0
1911,6,0
1912,6,0
1913,13,0
1914,5,0
1915,11,0
1916,13,0
1917,15,0
1918,9,0
1919,13,0
1920,14,0
1921,25,0
1922,10,0
1923,12,0
1924,15,0
1925,14,0
1926,7,0
1927,13,0
1928,14,0
1929,7,0
1930,10,0
1931,7,0
1932,10,0
1933,13,0
1934,0,0
1935,7,0
1936,10,0
1937,8,0
1938,10,0
1939,6,0
1940,6,0
1941,6,0
1942,6,0
1943,0,0
1944,8,0
1945,5,0
1946,10,0
1947,8,0
1948,0,0
1949,7,0
1950,7,0
1951,6,0
1952,6,0
1953,0,0
1954,0,0
1955,5,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,5,0
1961,6,0
1962,0,0
1963,6,0
1964,5,0
1965,11,0
1966,7,0
1967,5,0
1968,5,0
1969,8,0
1970,0,0
1971,6,0
1972,0,0
1973,0,0
1974,6,0
1975,0,0
1976,0,0
1977,8,0
1978,10,0
1979,5,0
1980,7,0
1981,0,0
1982,11,0
1983,9,0
1984,10,0
1985,10,0
1986,8,0
1987,10,0
1988,12,0
1989,15,0
1990,10,0
1991,15,0
1992,9,0
1993,12,0
1994,9,0
1995,11,0
1996,15,0
1997,15,0
1998,11,0
1999,6,0
2000,7,0
2001,8,0
2002,11,0
2003,12,0
2004,8,0
2005,12,0
2006,7,0
2007,10,0
2008,13,0
2009,9,0
2010,11,0
2011,10,0
2012,9,0
2013,8,0
2014,9,0
2015,15,0
2016,12,0
2017,11,0
2018,13,0
2019,9,0
