year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,7
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,7
1912,0,9
1913,0,5
1914,0,6
1915,0,12
1916,0,12
1917,0,10
1918,0,12
1919,0,22
1920,0,26
1921,0,18
1922,0,21
1923,0,22
1924,0,22
1925,0,20
1926,0,16
1927,0,13
1928,0,10
1929,0,14
1930,0,11
1931,0,10
1932,0,20
1933,0,15
1934,0,13
1935,0,5
1936,0,7
1937,0,15
1938,0,16
1939,0,16
1940,0,9
1941,0,9
1942,0,14
1943,0,9
1944,0,16
1945,0,9
1946,0,9
1947,0,10
1948,0,0
1949,0,18
1950,0,11
1951,0,13
1952,0,16
1953,0,23
1954,0,11
1955,0,17
1956,0,22
1957,0,6
1958,0,20
1959,0,7
1960,0,14
1961,0,16
1962,0,12
1963,0,23
1964,0,13
1965,0,6
1966,0,10
1967,0,16
1968,0,10
1969,0,12
1970,0,16
1971,0,15
1972,0,6
1973,0,17
1974,0,22
1975,0,25
1976,0,27
1977,0,25
1978,0,20
1979,0,62
1980,0,59
1981,0,71
1982,0,81
1983,0,74
1984,0,74
1985,0,75
1986,0,73
1987,0,76
1988,0,57
1989,0,65
1990,0,71
1991,0,88
1992,0,94
1993,0,79
1994,0,90
1995,0,113
1996,0,122
1997,6,126
1998,8,179
1999,7,174
2000,13,254
2001,21,263
2002,15,288
2003,27,355
2004,21,385
2005,22,545
2006,25,825
2007,15,876
2008,23,870
2009,20,853
2010,36,931
2011,25,867
2012,27,906
2013,29,930
2014,33,885
2015,20,907
2016,24,925
2017,28,887
2018,24,798
2019,18,852
